按键名称,nativeVirtualKey(VK),nativeScanCode(PS2),USB‑HID Boot Usage
A,0x41(65),0x1E,0x04
B,0x42(66),0x30,0x05
C,0x43(67),0x2E,0x06
D,0x44(68),0x20,0x07
E,0x45(69),0x12,0x08
F,0x46(70),0x21,0x09
G,0x47(71),0x22,0x0A
H,0x48(72),0x23,0x0B
I,0x49(73),0x17,0x0C
J,0x4A(74),0x24,0x0D
K,0x4B(75),0x25,0x0E
L,0x4C(76),0x26,0x0F
M,0x4D(77),0x32,0x10
N,0x4E(78),0x31,0x11
O,0x4F(79),0x18,0x12
P,0x50(80),0x19,0x13
Q,0x51(81),0x10,0x14
R,0x52(82),0x13,0x15
S,0x53(83),0x1F,0x16
T,0x54(84),0x14,0x17
U,0x55(85),0x16,0x18
V,0x56(86),0x2F,0x19
W,0x57(87),0x11,0x1A
X,0x58(88),0x2D,0x1B
Y,0x59(89),0x15,0x1C
Z,0x5A(90),0x2C,0x1D
0 (主键盘),0x30(48),0x0B,0x27
1 (主键盘),0x31(49),0x02,0x1E
2 (主键盘),0x32(50),0x03,0x1F
3 (主键盘),0x33(51),0x04,0x20
4 (主键盘),0x34(52),0x05,0x21
5 (主键盘),0x35(53),0x06,0x22
6 (主键盘),0x36(54),0x07,0x23
7 (主键盘),0x37(55),0x08,0x24
8 (主键盘),0x38(56),0x09,0x25
9 (主键盘),0x39(57),0x0A,0x26
Enter 回车,0x0D(13),0x1C,0x28
ESC,0x1B(27),0x01,0x29
Backspace 退格,0x08(8),0x0E,0x2A
Tab,0x09(9),0x0F,0x2B
Space 空格,0x20(32),0x39,0x2C
减号 -,0xBD(189),0x0C,0x2D
等号 =,0xBB(187),0x0D,0x2E
[ 左方括号,0xDB(219),0x1A,0x2F
] 右方括号,0xDD(221),0x1B,0x30
反斜杠 \,0xDC(220),0x2B,0x31
分号 ;,0xBA(186),0x27,0x33
引号 ',0xDE(222),0x28,0x34
"逗号 ,",0xBC(188),0x33,0x36
点 .,0xBE(190),0x34,0x37
斜杠 /,0xBF(191),0x35,0x38
CapsLock,0x14(20),0x3A,0x39
F1,0x70(112),0x3B,0x3A
F2,0x71(113),0x3C,0x3B
F3,0x72(114),0x3D,0x3C
F4,0x73(115),0x3E,0x3D
F5,0x74(116),0x3F,0x3E
F6,0x75(117),0x40,0x3F
F7,0x76(118),0x41,0x40
F8,0x77(119),0x42,0x41
F9,0x78(120),0x43,0x42
F10,0x79(121),0x44,0x43
F11,0x7A(122),0x57,0x44
F12,0x7B(123),0x58,0x45
PrintScreen,0x2C(44),0x37,0x46
ScrollLock,0x91(145),0x46,0x47
Pause,0x13(19),0x45,0x48
Insert,0x2D(45),0x52,0x49
Home,0x24(36),0x47,0x4A
PageUp,0x21(33),0x49,0x4B
Delete,0x2E(46),0x53,0x4C
End,0x23(35),0x4F,0x4D
PageDown,0x22(34),0x51,0x4E
右箭头→,0x27(39),0x4D,0x4F
左箭头←,0x25(37),0x4B,0x50
下箭头↓,0x28(40),0x50,0x51
上箭头↑,0x26(38),0x48,0x52
NumLock,0x90(144),0x45,0x53
小键盘 /,0x6F(111),0x35,0x54
小键盘 *,0x6A(106),0x37,0x55
小键盘 -,0x6D(109),0x4A,0x56
小键盘 +,0x6B(107),0x4E,0x57
小键盘 Enter,0x0D(13),0x1C,0x58
小键盘 1 End,0x61(97),0x4F,0x59
小键盘 2 ↓,0x62(98),0x50,0x5A
小键盘 3 PgDn,0x63(99),0x51,0x5B
小键盘 4 ←,0x64(100),0x4B,0x5C
小键盘 5,0x65(101),0x4C,0x5D
小键盘 6 →,0x66(102),0x4D,0x5E
小键盘 7 Home,0x67(103),0x47,0x5F
小键盘 8 ↑,0x68(104),0x48,0x60
小键盘 9 PgUp,0x69(105),0x49,0x61
小键盘 0 Ins,0x60(96),0x52,0x62
小键盘 . Del,0x6E(110),0x53,0x63
